899882;2345;03/05/2022 00:00;03/05/2022 00:00;08/03/2022 08:47;Nota não gerada;False;False
899883;2346;03/05/2022 00:00;03/05/2022 00:00;08/03/2022 08:57;Nota não gerada;False;False
899884;2347;03/05/2022 00:00;03/05/2022 00:00;08/03/2022 09:45;Nota não gerada;False;False
899888;2367;03/05/2022 00:00;03/05/2022 00:00;08/03/2022 09:53;Nota não gerada;False;False
899108765;834557;03/05/2022 00:00;03/05/2022 00:00;08/03/2022 10:03;Nota não gerada;False;False
8998826778;998345;03/05/2022 00:00;03/05/2022 00:00;08/03/2022 12:17;Nota não gerada;False;False
8998887;2347766;03/05/2022 00:00;03/05/2022 00:00;08/03/2022 13:49;Nota não gerada;False;False
899898888;7654321;03/05/2022 00:00;03/05/2022 00:00;08/03/2022 13:53;Nota não gerada;False;False
8991mmmm000;8432357;03/05/2022 00:00;03/05/2022 00:00;08/03/2022 13:59;Nota não gerada;False;False
8998lk84;23433457;03/05/2022 00:00;03/05/2022 00:00;08/03/2022 14:40;Nota não gerada;False;False
